freq,eps.real,eps.imag,sig.real,sig.imag
1.948441247002398e10,-114651.06186054873,37923374.30771996,41106800.30969611,124276.37302931382
1.9784172661870502e10,-114651.02936886981,37348767.1428894,41106788.66028539,126188.2814687831
2.0083932853717026e10,-114650.99638115359,36791312.27156421,41106776.83302786,128100.18827036589
2.038369304556355e10,-114650.96289740087,36250252.97491351,41106764.827923775,130012.09340924729
2.0683453237410072e10,-114650.92891761259,35724876.40186479,41106752.64497347,131923.99686061256
2.0983213429256596e10,-114650.89444178957,35214510.43569251,41106740.284177266,133835.8985996469
2.128297362110312e10,-114650.85946993277,34718520.82540217,41106727.74553546,135747.79860153573
2.158273381294964e10,-114650.82400204302,34236308.55616562,41106715.029048406,137659.69684146444
2.188249400479616e10,-114650.78803812123,33767307.43588503,41106702.1347164,139571.59329461845
2.2182254196642685e10,-114650.75157816843,33310981.87744083,41106689.06253981,141483.48793618352
2.248201438848921e10,-114650.71462218552,32866824.858359847,41106675.81251896,143395.38074134523
2.278177458033573e10,-114650.67717017343,32434356.041562222,41106662.384654194,145307.27168528925
2.3081534772182255e10,-114650.63922213313,32013120.04254367,41106648.77894585,147219.1607432014
2.3381294964028778e10,-114650.6007780657,31602684.82985144,41106634.99539431,149131.0478902677
2.36810551558753e10,-114650.56183797205,31202640.24704302,41106621.03399992,151042.93310167416
2.398081534772182e10,-114650.52240185319,30812596.645498037,41106606.894763015,152954.8163526066
2.4280575539568344e10,-114650.48246971017,30432183.618503314,41106592.577684,154866.69761825138
2.4580335731414867e10,-114650.44204154401,30061048.827965803,41106578.08276324,156778.5768737947
2.488009592326139e10,-114650.40111735575,29698856.91594155,41106563.410001084,158690.45409442278
2.5179856115107914e10,-114650.3596971465,29345288.493912496,41106548.559397936,160602.32925532217
2.5479616306954433e10,-114650.31778091732,29000039.203408502,41106533.53095418,162514.2023316793
2.5779376498800957e10,-114650.27536866926,28662818.842167318,41106518.32467021,164426.0732986808
2.607913669064748e10,-114650.23246040347,28333350.550559476,41106502.9405464,166337.94213151335
2.6378896882494003e10,-114650.18905612106,28011370.05348412,41106487.37858318,168249.80880536372
2.6678657074340527e10,-114650.14515582313,27696624.953372996,41106471.63878092,170161.67329541876
2.697841726618705e10,-114650.10075951077,27388874.070327573,41106455.721140064,172073.53557686537
2.7278177458033573e10,-114650.05586718522,27087886.82576354,41106439.62566099,173985.39562489072
2.7577937649880096e10,-114650.0104788476,26793442.666252427,41106423.35234413,175897.25341468188
2.787769784172662e10,-114649.96459449914,26505330.524534747,41106406.90118993,177809.10892142623
2.8177458033573143e10,-114649.91821414095,26223348.314936493,41106390.272198774,179720.96212031096
2.8477218225419666e10,-114649.87133777431,25947302.460654184,41106373.46537113,181632.81298652364
2.877697841726619e10,-114649.82396540043,25677007.450584468,41106356.48070744,183544.6614952518
2.907673860911271e10,-114649.77609702045,25412285.42356639,41106339.31820808,185456.507621683
2.9376498800959232e10,-114649.72773263571,25152965.778078247,41106321.97787358,187368.35134100512
2.967625899280575e10,-114649.67887224743,24898884.805589087,41106304.45970432,189280.19262840593
2.9976019184652275e10,-114649.62951585688,24649885.345909227,41106286.7637008,191192.0314590735
3.02757793764988e10,-114649.57966346531,24405816.463014897,41106268.88986346,193103.86780819573
3.057553956834532e10,-114649.52931507409,24166533.139942087,41106250.83819277,195015.70165096107
3.0875299760191845e10,-114649.47847068448,23931895.991453554,41106232.608689204,196927.5329625576
3.117505995203837e10,-114649.42713029783,23701770.99328272,41106214.20135324,198839.3617181738
3.147482014388489e10,-114649.37529391536,23476029.22684934,41106195.616185315,200751.18789299804
3.1774580335731415e10,-114649.32296153856,23254546.638425276,41106176.85318595,202663.01146221912
3.2074340527577938e10,-114649.27013316871,23037203.811804928,41106157.91235564,204574.83240102572
3.237410071942446e10,-114649.21680880724,22823885.753605142,41106138.79369485,206486.6506846067
3.2673860911270985e10,-114649.16298845544,22614481.690383412,41106119.49720407,208398.4662881509
3.2973621103117508e10,-114649.1086721148,22408884.876822438,41106100.02288384,210310.27918684756
3.327338129496403e10,-114649.05385978667,22206992.414283,41106080.37073463,212222.08935588578
3.3573141486810555e10,-114648.99855147253,22008705.07907731,41106060.54075697,214133.89677045494
3.3872901678657078e10,-114648.94274717374,21813927.159860488,41106040.53295136,216045.70140574442
3.41726618705036e10,-114648.88644689182,21622566.30358047,41106020.34731834,217957.50323694377
3.447242206235012e10,-114648.82965062816,21434533.369465265,41105999.9838584,219869.30223924262
3.477218225419665e10,-114648.77235838432,21249742.290562607,41105979.44257211,221781.09838783095
3.507194244604316e10,-114648.71457016168,21068109.94238014,41105958.72345995,223692.89165789832
3.537170263788969e10,-114648.65628596189,20889556.01820492,41105937.82652253,225604.6820246353
3.5671462829736206e10,-114648.5975057863,20714002.910709288,41105916.75176032,227516.46946323154
3.597122302158273e10,-114648.53822963656,20541375.59947655,41105895.499173924,229428.2539488777
3.627098321342925e10,-114648.47845751415,20371601.544103753,41105874.06876386,231340.03545676405
3.657074340527578e10,-114648.41818942058,20204610.582561824,41105852.46053069,233251.8139620811
3.68705035971223e10,-114648.35742535752,20040334.834513713,41105830.67447498,235163.58944001966
3.717026378896883e10,-114648.29616532646,19878708.60931064,41105808.71059729,237075.36186577042
3.7470023980815346e10,-114648.23440932906,19719668.3184046,41105786.56889821,238987.13121452442
3.7769784172661865e10,-114648.17215736689,19563152.39193165,41105764.24937828,240898.89746147275
3.806954436450839e10,-114648.1094094415,19409101.19923616,41105741.75203811,242810.6605818065
3.836930455635491e10,-114648.04616555465,19257456.973120503,41105719.07687826,244722.42055071713
3.866906474820144e10,-114647.98242570784,19108163.737617973,41105696.223899335,246634.17734339603
3.896882494004796e10,-114647.91818990285,18961167.239099316,41105673.19310193,248545.93093503494
3.9268585131894485e10,-114647.85345814125,18816414.880534634,41105649.98448664,250457.68130082556
3.9568345323741005e10,-114647.78823042482,18673855.658743434,41105626.598054044,252369.42841595976
3.986810551558753e10,-114647.72250675518,18533440.10447546,41105603.033804804,254281.1722556297
4.016786570743405e10,-114647.65628713403,18395120.225174487,41105579.291739464,256192.91279502737
4.046762589928058e10,-114647.58957156315,18258849.450285982,41105555.3718587,258104.65000934535
4.07673860911271e10,-114647.52236004418,18124582.578977574,41105531.27416308,260016.38387377578
4.1067146282973625e10,-114647.45465257895,17992275.73014925,41105506.99865327,261928.11436351153
4.1366906474820145e10,-114647.38644916918,17861886.294616938,41105482.545329876,263839.84145374526
4.166666666666667e10,-114647.31774981668,17733372.889360134,41105457.91419357,265751.56511967006
4.196642685851319e10,-114647.24855452315,17606695.31373034,41105433.105244935,267663.2853364786
4.226618705035971e10,-114647.17886329048,17481814.50752301,41105408.11848464,269575.00207936444
4.256594724220623e10,-114647.10867612038,17358692.510821044,41105382.953913346,271486.7153235207
4.286570743405276e10,-114647.03799301478,17237292.425523203,41105357.61153172,273398.4250441412
4.316546762589928e10,-114646.96681397545,17117578.3784755,41105332.09134037,275310.1312164193
4.34652278177458e10,-114646.89513900423,16999515.48612821,41105306.39333999,277221.8338155488
4.376498800959232e10,-114646.822968103,16883069.820645306,41105280.51753125,279133.53281672386
4.406474820143884e10,-114646.75030127363,16768208.377397165,41105254.463914804,281045.2281951384
4.436450839328537e10,-114646.67713851805,16654899.043771202,41105228.23249136,282956.919925987
4.466426858513189e10,-114646.60347983804,16543110.569238378,41105201.823261544,284868.6079844637
4.496402877697842e10,-114646.52932523565,16432812.53661711,41105175.23622611,286780.29234576353
