Temperature,HWP,Path
100.00,31.00,raw_data/08.03.23/04h45m14s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=31.00_Del=162.10.txt
100.00,29.00,raw_data/08.03.23/04h50m46s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=29.00_Del=162.10.txt
100.00,27.00,raw_data/08.03.23/04h56m20s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=27.00_Del=162.10.txt
100.00,25.00,raw_data/08.03.23/05h01m50s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.79_Tem=100.00_HWP=25.00_Del=162.10.txt
150.00,65.00,raw_data/08.03.23/05h33m56s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.52_Tem=150.00_HWP=65.00_Del=162.10.txt
150.00,63.00,raw_data/08.03.23/05h39m27s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.50_Tem=150.00_HWP=63.00_Del=162.10.txt
150.00,61.00,raw_data/08.03.23/05h44m56s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.49_Tem=150.00_HWP=61.00_Del=162.10.txt
150.00,59.00,raw_data/08.03.23/05h50m33s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.48_Tem=150.00_HWP=59.00_Del=162.10.txt
150.00,57.00,raw_data/08.03.23/05h56m03s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.47_Tem=150.00_HWP=57.00_Del=162.10.txt
150.00,55.00,raw_data/08.03.23/06h01m36s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.47_Tem=150.00_HWP=55.00_Del=162.10.txt
150.00,53.00,raw_data/08.03.23/06h07m10s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.46_Tem=150.00_HWP=53.00_Del=162.10.txt
150.00,51.00,raw_data/08.03.23/06h12m44s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.46_Tem=150.00_HWP=51.00_Del=162.10.txt
150.00,49.00,raw_data/08.03.23/06h18m14s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.45_Tem=150.00_HWP=49.00_Del=162.10.txt
150.00,47.00,raw_data/08.03.23/06h23m48s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.44_Tem=150.00_HWP=47.00_Del=162.10.txt
150.00,45.00,raw_data/08.03.23/06h29m17s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.44_Tem=150.00_HWP=45.00_Del=162.10.txt
150.00,43.00,raw_data/08.03.23/06h34m52s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.43_Tem=150.00_HWP=43.00_Del=162.10.txt
150.00,41.00,raw_data/08.03.23/06h40m21s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.42_Tem=150.00_HWP=41.00_Del=162.10.txt
150.00,39.00,raw_data/08.03.23/06h45m49s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.42_Tem=150.00_HWP=39.00_Del=162.10.txt
150.00,37.00,raw_data/08.03.23/06h51m24s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.41_Tem=150.00_HWP=37.00_Del=162.10.txt
150.00,35.00,raw_data/08.03.23/06h56m58s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.41_Tem=150.00_HWP=35.00_Del=162.10.txt
150.00,33.00,raw_data/08.03.23/07h02m33s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.42_Tem=150.00_HWP=33.00_Del=162.10.txt
150.00,31.00,raw_data/08.03.23/07h08m07s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.42_Tem=150.00_HWP=31.00_Del=162.10.txt
150.00,29.00,raw_data/08.03.23/07h13m37s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.43_Tem=150.00_HWP=29.00_Del=162.10.txt
150.00,27.00,raw_data/08.03.23/07h19m10s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.44_Tem=150.00_HWP=27.00_Del=162.10.txt
150.00,25.00,raw_data/08.03.23/07h24m34s_F21059_eSRR THz probe chopped xHWP xT 10ps_150.00-150.44_Tem=150.00_HWP=25.00_Del=162.10.txt
