
HWP,Set temperature,Get temperature,Path
55.0,100.00,100.85,raw_data/24.02.23/21h14m35s_xT xHWP 20 ps_100.00-100.85_Tem=100.00_HWP=55.00_Del=160.72.txt
#57.5,100.00,101.05,raw_data/26.02.23/01h17m19s_xT xHWP 20 ps_100.00-101.05_Tem=100.00_HWP=57.50_Del=160.72.txt
60.0,100.00,100.85,raw_data/24.02.23/21h29m38s_xT xHWP 20 ps_100.00-100.85_Tem=100.00_HWP=60.00_Del=160.72.txt
65.0,100.00,100.85,raw_data/24.02.23/21h44m45s_xT xHWP 20 ps_100.00-100.85_Tem=100.00_HWP=65.00_Del=160.72.txt
# 125 K
25.0,125.00,125.73,raw_data/25.02.23/06h14m05s_xT xHWP 20 ps_125.00-125.73_Tem=125.00_HWP=25.00_Del=160.72.txt
30.0,125.00,125.72,raw_data/25.02.23/06h28m14s_xT xHWP 20 ps_125.00-125.72_Tem=125.00_HWP=30.00_Del=160.72.txt
35.0,125.00,125.72,raw_data/25.02.23/06h42m24s_xT xHWP 20 ps_125.00-125.72_Tem=125.00_HWP=35.00_Del=160.72.txt
40.0,125.00,125.71,raw_data/25.02.23/06h56m38s_xT xHWP 20 ps_125.00-125.71_Tem=125.00_HWP=40.00_Del=160.72.txt
45.0,125.00,125.71,raw_data/25.02.23/07h11m16s_xT xHWP 20 ps_125.00-125.71_Tem=125.00_HWP=45.00_Del=160.72.txt
50.0,125.00,125.71,raw_data/25.02.23/07h25m33s_xT xHWP 20 ps_125.00-125.71_Tem=125.00_HWP=50.00_Del=160.72.txt
55.0,125.00,125.71,raw_data/25.02.23/07h39m41s_xT xHWP 20 ps_125.00-125.71_Tem=125.00_HWP=55.00_Del=160.72.txt
#57.5,125.00,125.88,raw_data/26.02.23/01h44m01s_xT xHWP 20 ps_125.00-125.88_Tem=125.00_HWP=57.50_Del=160.72.txt
60.0,125.00,125.71,raw_data/25.02.23/07h53m52s_xT xHWP 20 ps_125.00-125.71_Tem=125.00_HWP=60.00_Del=160.72.txt
65.0,125.00,125.71,raw_data/25.02.23/08h08m01s_xT xHWP 20 ps_125.00-125.71_Tem=125.00_HWP=65.00_Del=160.72.txt
# 150 K
25.0,150.00,150.53,raw_data/24.02.23/22h26m17s_xT xHWP 20 ps_150.00-150.53_Tem=150.00_HWP=25.00_Del=160.72.txt
30.0,150.00,150.52,raw_data/24.02.23/22h41m11s_xT xHWP 20 ps_150.00-150.52_Tem=150.00_HWP=30.00_Del=160.72.txt
35.0,150.00,150.52,raw_data/24.02.23/22h56m05s_xT xHWP 20 ps_150.00-150.51_Tem=150.00_HWP=35.00_Del=160.72.txt
40.0,150.00,150.51,raw_data/24.02.23/23h10m30s_xT xHWP 20 ps_150.00-150.51_Tem=150.00_HWP=40.00_Del=160.72.txt
45.0,150.00,150.51,raw_data/24.02.23/23h25m16s_xT xHWP 20 ps_150.00-150.51_Tem=150.00_HWP=45.00_Del=160.72.txt
50.0,150.00,150.51,raw_data/24.02.23/23h39m30s_xT xHWP 20 ps_150.00-150.51_Tem=150.00_HWP=50.00_Del=160.72.txt
55.0,150.00,150.51,raw_data/24.02.23/23h53m39s_xT xHWP 20 ps_150.00-150.51_Tem=150.00_HWP=55.00_Del=160.72.txt
#57.5,150.00,150.68,raw_data/26.02.23/02h13m26s_xT xHWP 20 ps_150.00-150.68_Tem=150.00_HWP=57.50_Del=160.72.txt
60.0,150.00,150.51,raw_data/25.02.23/00h07m50s_xT xHWP 20 ps_150.00-150.51_Tem=150.00_HWP=60.00_Del=160.72.txt
65.0,150.00,150.51,raw_data/25.02.23/00h22m01s_xT xHWP 20 ps_150.00-150.51_Tem=150.00_HWP=65.00_Del=160.72.txt
# # 175 K
# 25.0,175.00,175.43,raw_data/25.02.23/15h36m47s_xT xHWP 20 ps_175.00-175.43_Tem=175.00_HWP=25.00_Del=160.72.txt
# 30.0,175.00,175.42,raw_data/25.02.23/15h50m58s_xT xHWP 20 ps_175.00-175.42_Tem=175.00_HWP=30.00_Del=160.72.txt
# 35.0,175.00,175.42,raw_data/25.02.23/16h05m04s_xT xHWP 20 ps_175.00-175.42_Tem=175.00_HWP=35.00_Del=160.72.txt
