temperature,direction,R,data_type,rho,sigma
28.13,-1,8074.99,raw,0.0004025863910381849,2483.9389066809044
28.149,-1,8066.44,raw,0.000402160122566846,2486.571750618518
28.186,-1,8053.02,raw,0.0004014910555627095,2490.715511951943
28.212,-1,8045.69,raw,0.0004011256113644739,2492.984670309102
28.243,-1,8032.26,raw,0.0004004560458007219,2497.1529596974246
28.27,-1,8023.72,raw,0.00040003027588899866,2499.81079001501
28.292,-1,8017.62,raw,0.000399726154523482,2501.712706770742
28.311,-1,8009.07,raw,0.0003992998860521431,2504.383384345403
28.363,-1,7989.54,raw,0.00039832619912287445,2510.5052145754617
28.4,-1,7977.94,raw,0.0003977478699687773,2514.155512834044
28.418,-1,7973.06,raw,0.00039750457287636404,2515.6943296625427
28.453,-1,7958.41,raw,0.00039677418303950854,2520.325270004842
28.48,-1,7949.87,raw,0.00039634841312778527,2523.0326825544616
28.511,-1,7940.71,raw,0.00039589173251989483,2525.9431249925046
28.541,-1,7930.95,raw,0.00039540513833506816,2529.051605678921
28.575,-1,7917.52,raw,0.0003947355727713161,2533.341479662727
28.594,-1,7912.03,raw,0.00039446186354235115,2535.099314848305
28.631,-1,7901.65,raw,0.0003939443586613573,2538.429547253958
28.662,-1,7888.83,raw,0.00039330520523415686,2542.5547048243193
28.688,-1,7876.63,raw,0.00039269696250312364,2546.4928315865077
28.725,-1,7869.3,raw,0.0003923315183048881,2548.8648078049173
28.748,-1,7861.37,raw,0.0003919361605297165,2551.4359242802766
28.784,-1,7846.72,raw,0.00039120577069286103,2556.199511650631
28.807,-1,7841.84,raw,0.00039096247360044783,2557.7902420935943
28.842,-1,7827.19,raw,0.0003902320837635923,2562.577608574627
28.861,-1,7821.69,raw,0.0003899578759750118,2564.3795435589027
28.901,-1,7807.04,raw,0.00038922748613815633,2569.1916311507607
28.921,-1,7801.55,raw,0.00038895377690919143,2570.9995875254576
28.956,-1,7788.12,raw,0.0003882842113454392,2575.433073971541
28.978,-1,7778.97,raw,0.0003878280292971643,2578.4624226676847
29.01,-1,7767.37,raw,0.00038724970014306716,2582.313168042624
29.033,-1,7760.66,raw,0.00038691516664099895,2584.5458803837864
29.054,-1,7755.17,raw,0.000386641457412034,2586.375518790592
29.08,-1,7746.01,raw,0.0003861847768041435,2589.4340224269313
29.114,-1,7735.63,raw,0.00038566727192314965,2592.908636020497
29.136,-1,7725.87,raw,0.0003851806777383231,2596.1842267678894
29.164,-1,7719.15,raw,0.0003848456456766392,2598.4443665506224
29.192,-1,7706.95,raw,0.00038423740294560603,2602.557669643534
29.225,-1,7698.4,raw,0.00038381113447426713,2605.4481232540834
29.247,-1,7689.25,raw,0.0003833549524259922,2608.5485362108448
29.268,-1,7683.14,raw,0.00038305033250086003,2610.622978633636
29.29,-1,7675.82,raw,0.0003826853868622401,2613.1125836795595
29.338,-1,7660.56,raw,0.000381924584888833,2618.317960052429
29.372,-1,7648.96,raw,0.0003813462557347358,2622.2887597868516
29.398,-1,7642.25,raw,0.00038101172223266755,2624.5911651750775
29.429,-1,7630.65,raw,0.0003804333930785704,2628.5810294089283
29.448,-1,7626.99,raw,0.00038025092025926045,2629.842419101013
29.489,-1,7612.34,raw,0.00037952053042240505,2634.9035686870575
29.515,-1,7603.19,raw,0.00037906434837413014,2638.0745229382974
29.544,-1,7595.25,raw,0.000378668492039343,2640.8323402204314
29.571,-1,7584.88,raw,0.0003781514857179647,2644.442869506075
29.612,-1,7572.06,raw,0.0003775123322907643,2648.9200867477584
29.633,-1,7567.18,raw,0.00037726903519835097,2650.628349274001
29.667,-1,7555.58,raw,0.0003766907060442538,2654.697830220742
29.711,-1,7543.37,raw,0.00037608196475360497,2658.9948301699687
29.739,-1,7533.0,raw,0.00037556495843222676,2662.655227938303
29.771,-1,7523.84,raw,0.0003751082778243362,2665.8969132861994
29.795,-1,7515.3,raw,0.000374682507912613,2668.9263012866068
29.844,-1,7500.65,raw,0.00037395211807575755,2674.1391522147064
29.875,-1,7492.71,raw,0.0003735562617409704,2676.9729286278575
29.903,-1,7480.51,raw,0.00037294801900993713,2681.33881674635
29.932,-1,7471.96,raw,0.00037252175053859835,2684.407013964105
29.954,-1,7463.42,raw,0.0003720959806268751,2687.478640095189
30.001,-1,7451.21,raw,0.0003714872393362263,2691.882503923421
30.035,-1,7440.83,raw,0.00037096973445523244,2695.6376952650758
30.06,-1,7432.29,raw,0.00037054396454350917,2698.735091345902
