HWP,Delay,t,Path
35.0,157.95,37.1519,raw_data/05.02.23/15h49m57s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=157.95.txt
35.0,157.96,37.0852,raw_data/04.02.23/21h11m02s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=157.96.txt
35.0,160.53,19.9433,raw_data/04.02.23/03h28m15s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=160.53.txt
35.0,161.27,15.0075,raw_data/05.02.23/10h01m28s_ZnTe F21059 transmission xPP xHWP_Del=161.27_HWP=35.00.txt
35.0,162.02,10.005,raw_data/05.02.23/02h31m38s_ZnTe F21059 transmission xPP xHWP_Del=162.02_HWP=35.00.txt
35.0,162.76,5.0692,raw_data/04.02.23/20h45m38s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=162.76.txt
35.0,162.77,5.0025,raw_data/05.02.23/06h16m32s_ZnTe F21059 transmission xPP xHWP_Del=162.77_HWP=35.00.txt
35.0,165.0,-9.8716,raw_data/04.02.23/03h01m32s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=165.00.txt
35.0,171.0,-49.8916,raw_data/06.02.23/08h51m25s_ZnTe F21059 transmission xPP xHWP_2.99-4.69_HWP=35.00_Del=171.00.txt
40.0,0.0,1090.6784,raw_data/03.02.23/14h10m42s_ZnTe F21059 transmission xPP xHWP_2.98-4.71_HWP=40.00_Del=0.00.txt
40.0,51.69,745.9061,raw_data/04.02.23/15h55m13s_ZnTe F21059 transmission xPP xHWP_HWP=40.00_Del=51.69.txt
40.0,103.37,401.2005,raw_data/03.02.23/13h51m13s_ZnTe F21059 transmission xPP xHWP_2.98-4.71_HWP=40.00_Del=103.37.txt
40.0,122.38,274.4038,raw_data/04.02.23/15h29m47s_ZnTe F21059 transmission xPP xHWP_HWP=40.00_Del=122.38.txt
40.0,141.39,147.6071,raw_data/03.02.23/13h31m45s_ZnTe F21059 transmission xPP xHWP_2.98-4.71_HWP=40.00_Del=141.39.txt
40.0,148.38,100.9838,raw_data/04.02.23/15h04m22s_ZnTe F21059 transmission xPP xHWP_HWP=40.00_Del=148.38.txt
40.0,152.28,74.9708,raw_data/06.02.23/14h06m48s_ZnTe F21059 transmission xPP xHWP_2.98-4.69_HWP=40.00_Del=152.28.txt
40.0,155.38,54.2938,raw_data/03.02.23/13h12m18s_ZnTe F21059 transmission xPP xHWP_2.98-4.71_HWP=40.00_Del=155.38.txt
40.0,157.95,37.1519,raw_data/06.02.23/02h23m14s_ZnTe F21059 transmission xPP xHWP_2.98-4.69_HWP=40.00_Del=157.95.txt
40.0,157.96,37.0852,raw_data/04.02.23/14h38m57s_ZnTe F21059 transmission xPP xHWP_HWP=40.00_Del=157.96.txt
40.0,160.53,19.9433,raw_data/03.02.23/12h52m52s_ZnTe F21059 transmission xPP xHWP_2.98-4.71_HWP=40.00_Del=160.53.txt
40.0,161.27,15.0075,raw_data/05.02.23/10h37m28s_ZnTe F21059 transmission xPP xHWP_Del=161.27_HWP=40.00.txt
40.0,162.02,10.005,raw_data/05.02.23/03h03m46s_ZnTe F21059 transmission xPP xHWP_Del=162.02_HWP=40.00.txt
40.0,162.76,5.0692,raw_data/04.02.23/14h13m32s_ZnTe F21059 transmission xPP xHWP_HWP=40.00_Del=162.76.txt
40.0,162.77,5.0025,raw_data/05.02.23/06h48m40s_ZnTe F21059 transmission xPP xHWP_Del=162.77_HWP=40.00.txt
40.0,165.0,-9.8716,raw_data/03.02.23/12h33m27s_ZnTe F21059 transmission xPP xHWP_2.99-4.71_HWP=40.00_Del=165.00.txt
40.0,171.0,-49.8916,raw_data/06.02.23/03h10m29s_ZnTe F21059 transmission xPP xHWP_2.98-4.69_HWP=40.00_Del=171.00.txt
45.0,0.0,1090.6784,raw_data/04.02.23/07h55m34s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=0.00.txt
45.0,51.69,745.9061,raw_data/05.02.23/18h23m01s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=51.69.txt
45.0,103.37,401.2005,raw_data/04.02.23/07h28m49s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=103.37.txt
45.0,122.38,274.4038,raw_data/05.02.23/00h09m02s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=122.38.txt
45.0,141.39,147.6071,raw_data/04.02.23/07h02m05s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=141.39.txt
