% Model:              model.mph
% Version:            COMSOL 6.1.0.357
% Date:               Sep 7 2023, 08:17
% Dimension:          1
% Nodes:              156
% Expressions:        1
% Description:        Line graph
% z (µm)                  Electric field, y-component
6.964960471642778         4.444281197823482E-6
7.24227148746239          3.376939521703735E-6
7.519582503281999         1.3447412898784642E-6
7.925096353628577         7.39080596575077E-7
8.33061020397516          1.4205745690704862E-7
8.736124054321738         -4.4632812912562445E-7
9.14163790466832          -1.0260761615229385E-6
9.547151755014905         -1.5971866402848974E-6
9.952665605361483         -2.1596595654114937E-6
10                        -2.2247523522526354E-6
