freq,cond.real,Ey.pha,Ey.mag,E0y.pha,E0y.mag
3.9699999999999998,0,1.1621237483609848,33704.97550798497,-0.5032834589795772,8093.646347116743
4.03,0,1.288299234549111,30200.70341340213,-0.44480459300758524,7845.38143329364
4.09,0,1.4296816959172995,27439.04639681734,-0.36023085650152636,7511.2255940952155
4.15,0,1.578724080111327,24841.20816244589,-0.2752558285688074,7015.419763537051
4.21,0,1.7186078448951676,22683.17398650895,-0.20997492061558148,6537.511797550691
4.27,0,1.8721450435906228,21288.232279619548,-0.14070988467083412,6215.755476700612
4.33,0,2.0711682829071028,19982.394355979555,-0.036405518465937196,5878.286070761356
4.39,0,2.3006584116229187,17991.39159642695,0.08703054456821505,5307.628941954469
4.45,0,2.513678301546253,15476.665122612378,0.17843102653699378,4558.2149520455305
4.51,0,2.678176120315688,13330.609635217472,0.19787959683645245,3925.4647752962555
