# Flat substrate index of 4.8 without absorption.
# Homogeneous conductivity across sample.
cond,freq,param,value
10.0,2.96,s11.real,0.7321
10.0,2.98,s11.real,0.7346
10.0,3.0,s11.real,0.7341
100.0,0.5,s11.real,-0.0297
100.0,0.52,s11.real,0.0101
100.0,0.54,s11.real,0.0498
100.0,0.56,s11.real,0.0893
100.0,0.58,s11.real,0.1284
100.0,0.6,s11.real,0.1671
100.0,0.62,s11.real,0.2053
100.0,0.64,s11.real,0.2426
100.0,0.66,s11.real,0.2791
100.0,0.68,s11.real,0.3208
100.0,0.7,s11.real,0.3493
100.0,0.72,s11.real,0.3826
100.0,0.74,s11.real,0.4147
100.0,0.76,s11.real,0.4454
100.0,0.78,s11.real,0.4749
100.0,0.8,s11.real,0.5029
100.0,0.82,s11.real,0.5297
100.0,0.84,s11.real,0.5552
100.0,0.86,s11.real,0.5798
100.0,0.88,s11.real,0.6036
100.0,0.9,s11.real,0.6274
100.0,0.92,s11.real,0.6523
100.0,0.94,s11.real,0.6801
100.0,0.96,s11.real,0.7141
100.0,0.98,s11.real,0.7593
100.0,1.0,s11.real,0.8178
100.0,1.02,s11.real,0.8651
100.0,1.04,s11.real,0.8404
100.0,1.06,s11.real,0.7542
100.0,1.08,s11.real,0.6889
100.0,1.1,s11.real,0.6468
100.0,1.12,s11.real,0.6189
100.0,1.14,s11.real,0.5972
100.0,1.16,s11.real,0.5776
100.0,1.18,s11.real,0.5582
100.0,1.2,s11.real,0.5381
100.0,1.22,s11.real,0.5167
100.0,1.24,s11.real,0.4938
100.0,1.26,s11.real,0.4694
100.0,1.28,s11.real,0.4433
100.0,1.3,s11.real,0.4156
100.0,1.32,s11.real,0.3865
100.0,1.34,s11.real,0.3557
100.0,1.36,s11.real,0.3234
100.0,1.38,s11.real,0.2897
100.0,1.4,s11.real,0.2545
100.0,1.42,s11.real,0.218
100.0,1.44,s11.real,0.1802
100.0,1.46,s11.real,0.1412
100.0,1.48,s11.real,0.1011
100.0,1.5,s11.real,0.0602
100.0,1.52,s11.real,0.0185
100.0,1.54,s11.real,-0.0238
100.0,1.56,s11.real,-0.0666
100.0,1.58,s11.real,-0.1095
100.0,1.6,s11.real,-0.1526
100.0,1.62,s11.real,-0.1956
100.0,1.64,s11.real,-0.2384
100.0,1.66,s11.real,-0.281
100.0,1.68,s11.real,-0.3232
100.0,1.7,s11.real,-0.3649
100.0,1.72,s11.real,-0.4059
100.0,1.74,s11.real,-0.4462
100.0,1.76,s11.real,-0.4856
100.0,1.78,s11.real,-0.5238
100.0,1.8,s11.real,-0.5607
100.0,1.82,s11.real,-0.5958
100.0,1.84,s11.real,-0.6288
100.0,1.86,s11.real,-0.6591
100.0,1.88,s11.real,-0.6862
100.0,1.9,s11.real,-0.7098
100.0,1.92,s11.real,-0.7292
100.0,1.94,s11.real,-0.7444
100.0,1.96,s11.real,-0.755
100.0,1.98,s11.real,-0.7611
100.0,2.0,s11.real,-0.7631
100.0,2.02,s11.real,-0.7612
100.0,2.04,s11.real,-0.7558
100.0,2.06,s11.real,-0.7472
100.0,2.08,s11.real,-0.7357
100.0,2.1,s11.real,-0.7214
100.0,2.12,s11.real,-0.7045
100.0,2.14,s11.real,-0.6851
100.0,2.16,s11.real,-0.6632
100.0,2.18,s11.real,-0.6387
100.0,2.2,s11.real,-0.6117
100.0,2.22,s11.real,-0.5824
100.0,2.24,s11.real,-0.5506
100.0,2.26,s11.real,-0.5165
100.0,2.28,s11.real,-0.4804
100.0,2.3,s11.real,-0.4424
100.0,2.32,s11.real,-0.4027
100.0,2.34,s11.real,-0.3617
100.0,2.36,s11.real,-0.3194
100.0,2.38,s11.real,-0.2762
100.0,2.4,s11.real,-0.2325
100.0,2.42,s11.real,-0.188
100.0,2.44,s11.real,-0.1432
