f (THz),eps.real,eps.imag
5.533,9.738049752258437,8.186944680667567
5.534,9.762360045841849,8.182857577026196
5.535,9.78663761419512,8.178808165161454
5.5360000000000005,9.810882558997958,8.174796332785299
5.537,9.835094981574516,8.170821968350506
5.538,9.859274982894158,8.166884961046446
5.539,9.883422663572183,8.162985200794816
5.54,9.907538123870735,8.159122578245427
5.541,9.931621463699456,8.155296984772043
5.542,9.95567278261634,8.151508312468241
5.543,9.979692179828623,8.147756454143234
5.5440000000000005,10.003679754193369,8.144041303317861
5.545,10.027635604218402,8.140362754220478
5.546,10.051559828063093,8.13672070178294
5.547,10.075452523539026,8.133115041636612
5.548,10.099313788110967,8.129545670108381
5.549,10.123143718897452,8.12601248421673
5.55,10.146942412671676,8.122515381667833
5.551,10.170709965862304,8.119054260851636
5.5520000000000005,10.194446474554148,8.115629020838032
5.553,10.218152034488998,8.112239561373034
5.554,10.241826741066463,8.108885782874946
5.555,10.265470689344564,8.10556758643063
5.556,10.289083974040732,8.102284873791715
5.557,10.312666689532401,8.099037547370926
5.558,10.336218929857846,8.095825510238358
5.559,10.359740788716982,8.092648666117826
5.5600000000000005,10.383232359472064,8.08950691938323
5.561,10.40669373514845,8.08640017505493
5.562,10.430125008435486,8.083328338796166
5.563,10.453526271687057,8.080291316909515
5.564,10.476897616922566,8.077289016333319
5.565,10.500239135827501,8.074321344638221
5.566,10.523550919754273,8.071388210023645
5.567,10.54683305972304,8.068489521314357
5.5680000000000005,10.570085646422305,8.065625187957027
5.569,10.593308770209736,8.062795120016823
5.57,10.61650252111298,8.059999228174014
5.571,10.639666988830248,8.057237423720624
5.572,10.662802262731235,8.05450961855709
5.573,10.685908431857683,8.051815725188955
5.574,10.708985584924235,8.04915565672357
5.575,10.732033810319159,8.046529326866832
5.5760000000000005,10.755053196105019,8.043936649919955
5.577,10.77804383001941,8.04137754077623
5.578,10.801005799475776,8.038851914917846
5.579,10.823939191564003,8.036359688412716
5.58,10.846844093051265,8.033900777911311
5.581,10.869720590382606,8.031475100643558
5.582,10.892568769681759,8.02908257441572
5.583,10.91538871675185,8.026723117607299
5.5840000000000005,10.93818051707605,8.024396649168006
5.585,10.960944255818301,8.0221030886147
5.586,10.983680017824096,8.019842356028372
5.587,11.006387887621027,8.017614372051158
5.588,11.029067949419677,8.015419057883351
5.589,11.051720287114124,8.01325633528045
5.59,11.074344984282735,8.011126126550243
5.591,11.096942124188917,8.009028354549862
5.5920000000000005,11.119511789781637,8.006962942682927
5.593,11.142054063696198,8.00492981489665
5.594,11.164569028255015,8.00292889567898
5.595,11.187056765468064,8.000960110055805
5.596,11.209517357033803,7.999023383588101
5.597,11.23195088433966,7.997118642369157
5.598,11.25435742846276,7.995245813021813
5.599,11.27673707017066,7.993404822695694
5.6000000000000005,11.2990898899219,7.991595599064474
5.601,11.321415967866693,7.989818070323183
5.602,11.343715383847693,7.988072165185484
5.603,11.365988217400425,7.986357812881018
5.604,11.388234547754175,7.984674943152735
5.605,11.41045445383246,7.983023486254266
5.606,11.43264801425372,7.981403372947294
5.607,11.454815307332046,7.979814534498947
5.6080000000000005,11.476956411077666,7.978256902679229
5.609,11.499071403197654,7.976730409758447
5.61,11.521160361096625,7.975234988504658
5.611,11.543223361877198,7.973770572181143
5.612,11.56526048234081,7.972337094543898
5.613,11.587271798988157,7.970934489839127
5.614,11.609257388019914,7.969562692800783
5.615,11.631217325337357,7.968221638648084
5.6160000000000005,11.653151686542884,7.966911263083092
5.617,11.67506054694069,7.965631502288268
5.618,11.696943981537396,7.964382292924067
5.619,11.71880206504251,7.963163572126557
5.62,11.740634871869215,7.961975277505017
5.621,11.76244247613478,7.960817347139603
5.622,11.784224951661246,7.959689719578984
5.623,11.80598237197603,7.9585923338380224
5.6240000000000006,11.827714810312411,7.957525129395464
5.625,11.849422339610145,7.956488046191634
5.626,11.871105032516132,7.955481024626156
5.627,11.892762961384806,7.954504005555704
5.628,11.914396198278885,7.953556930291726
5.6290000000000004,11.936004814969793,7.952639740598224
5.63,11.957588882938259,7.95175237868955
5.631,11.97914847337494,7.950894787228166
5.632,12.000683657180835,7.950066909322496
5.633,12.022194504968004,7.949268688524711
5.634,12.043681087059943,7.948500068828604
5.635,12.065143473492194,7.94776099466743
5.636,12.086581734012958,7.947051410911772
5.6370000000000005,12.107995938083473,7.946371262867439
5.638,12.129386154878633,7.945720496273351
5.639,12.150752453287556,7.94509905729946
5.64,12.172094901913965,7.944506892544677
5.641,12.193413569076855,7.943943949034802
5.642,12.214708522810893,7.943410174220495
5.643,12.235979830866963,7.942905515975232
5.644,12.257227560712733,7.9424299225932975
5.6450000000000005,12.278451779533032,7.941983342787769
5.646,12.299652554230436,7.941565725688533
5.647,12.32082995142576,7.941177020840306
5.648,12.34198403745849,7.940817178200671
5.649,12.363114878387343,7.94048614813812
5.65,12.384222539990658,7.940183881430127
5.651,12.40530708776695,7.939910329261211
5.652,12.426368586935364,7.9396654432210285
5.6530000000000005,12.447407102436111,7.939449175302477
5.654,12.46842269893095,7.939261477899801
5.655,12.489415440803699,7.939102303806716
5.656,12.510385392160577,7.938971606214556
5.657,12.531332616830818,7.938869338710416
5.658,12.552257178366943,7.938795455275304
5.659,12.573159140045314,7.938749910282341
5.66,12.594038564866615,7.938732658494918
5.6610000000000005,12.614895515556134,7.9387436550649095
5.662,12.63573005456432,7.938782855530884
5.663,12.656542244067186,7.938850215816321
5.664,12.677332145966725,7.938945692227835
5.665,12.698099821891335,7.9390692414534385
5.666,12.71884533319621,7.939220820560782
5.667,12.73956874096375,7.939400386995431
5.668,12.76027010600406,7.939607898579133
5.6690000000000005,12.780949488855232,7.939843313508116
5.67,12.801606949783785,7.9401065903513866
5.671,12.822242548785141,7.940397688049039
5.672,12.842856345583838,7.940716565910578
5.673,12.86344839963415,7.941063183613253
5.674,12.884018770120248,7.941437501200397
5.675,12.904567515956714,7.941839479079786
5.676,12.925094695788893,7.942269078022001
5.6770000000000005,12.945600367993212,7.9427262591588015
5.678,12.966084590677598,7.943210983981512
5.679,12.986547421681857,7.943723214339416
5.68,13.006988918577933,7.944262912438163
5.681,13.02740913867038,7.944830040838184
5.682,13.047808138996649,7.945424562453115
5.683,13.068185976327412,7.946046440548228
5.684,13.088542707166962,7.946695638738891
5.6850000000000005,13.108878387753515,7.947372120989005
5.686,13.129193074059543,7.948075851609479
5.687,13.149486821792127,7.948806795256702
5.688,13.169759686393196,7.949564916931019
5.689,13.190011723040001,7.950350181975236
5.69,13.210242986645264,7.951162556073115
5.691,13.230453531857611,7.952002005247877
5.692,13.25064341306181,7.952868495860743
5.6930000000000005,13.270812684379106,7.953761994609449
5.694,13.290961399667465,7.954682468526772
5.695,13.311089612521997,7.9556298849791105
5.696,13.331197376275075,7.956604211665012
5.697,13.351284743996766,7.9576054166137435
5.698,13.37135176849499,7.958633468183871
5.699,13.391398502315893,7.959688335061841
5.7,13.411424997744094,7.9607699862605665
5.7010000000000005,13.43143130680291,7.9618783911180255
5.702,13.451417481254628,7.963013519295864
5.703,13.471383572600862,7.964175340778032
5.704,13.491329632082648,7.965363825869377
5.705,13.511255710680842,7.966578945194297
5.706,13.531161859116283,7.967820669695376
5.707,13.551048127849988,7.969088970632022
5.708,13.570914567083559,7.970383819579133
5.7090000000000005,13.590761226759236,7.971705188425756
5.71,13.610588156560208,7.973053049373756
5.711,13.63039540591086,7.974427374936503
5.712,13.650183023976922,7.975828137937543
5.713,13.669951059665777,7.977255311509313
5.714,13.689699561626536,7.978708869091819
5.715,13.709428578250387,7.980188784431356
5.716,13.729138157670722,7.981695031579233
5.7170000000000005,13.748828347763343,7.983227584890473
5.718,13.768499196146625,7.984786419022567
5.719,13.788150750181826,7.986371508934193
5.72,13.807783056973074,7.987982829883971
5.721,13.827396163367762,7.9896203574292155
5.722,13.846990115956553,7.991284067424675
5.723,13.866564961073582,7.992973936021326
5.724,13.886120744796772,7.994689939665122
5.7250000000000005,13.905657512947784,7.996432055095783
5.726,13.925175311092271,7.998200259345565
5.727,13.944674184540087,7.999994529738083
5.728,13.964154178345327,8.001814843887072
