cond,amplitude,variable,value,resonance_id
2706.935623858765,7.1073300704005025,p,0.012041268279672272,2
3372.690241419549,4.025848102980455,f,1.0918289864052357,1
3372.690241419549,4.025848102980455,td,3.0158970251696933,1
3372.690241419549,4.025848102980455,p,0.3443980027197939,1
3372.690241419549,7.120680607794072,f,1.5535322201945483,2
3372.690241419549,7.120680607794072,td,0.4546314349675087,2
3372.690241419549,7.120680607794072,p,0.010816717452178099,2
4202.183223090993,4.041599430403048,f,1.0907885721438797,1
4202.183223090993,4.041599430403048,td,2.8122480989586194,1
4202.183223090993,4.041599430403048,p,0.3419515044398544,1
4202.183223090993,7.150408904237095,f,1.5507473451600764,2
4202.183223090993,7.150408904237095,td,0.4538468109013798,2
4202.183223090993,7.150408904237095,p,0.00927918510098408,2
5235.68503966587,4.0740395011969115,f,1.089462326186387,1
