freq,eps_real,eps_imag
5.89,11.531126228352337,0.18071027673020174
5.9,11.560693974154301,0.17900332434556288
5.91,11.589983432690396,0.17731967804928106
5.92,11.618998387695793,0.17565891858484028
5.93,11.647742555159809,0.1740206360634954
5.94,11.676219584831733,0.17240442971437167
5.95,11.704433061686716,0.17080990764230503
5.96,11.732386507352953,0.1692366865931491
5.97,11.760083381501321,0.16768439172628943
5.98,11.787527083198654,0.166152656394111
5.99,11.814720952225727,0.16464112192817928
6.0,11.841668270361046,0.1631494374318996
6.01,11.868372262631457,0.16167725957943407
6.0200000000000005,11.894836098530561,0.1602242524206604
6.03,11.921062893205914,0.15879008719196566
6.04,11.947055708615956,0.1573744421326759
6.05,11.9728175546575,0.155977002306933
6.0600000000000005,11.998351390264732,0.1545974594308318
6.07,12.023660124480505,0.153235511704643
6.08,12.048746617500756,0.1518908636499501
6.09,12.07361368169282,0.15056322595153798
6.1000000000000005,12.098264082588404,0.14925231530387423
6.11,12.122700539851964,0.14795785426203256
6.12,12.14692572822517,0.1466795710969099
6.13,12.17094227844816,0.1454171996545995
6.140000000000001,12.19475277815824,0.14417047921978227
6.15,12.218359772766668,0.14293915438300547
6.16,12.241765766314158,0.14172297491172448
6.17,12.264973222305684,0.14052169562498443
6.18,12.287984564525178,0.13933507627162664
6.19,12.310802177830666,0.13816288141190508
6.2,12.333428408930425,0.13700488030240593
6.21,12.355865567140647,0.13586084678416405
6.22,12.378115925125146,0.13473055917387589
6.23,12.400181719617594,0.13361380015811167
6.24,12.422065152126748,0.13251035669043243
6.25,12.443768389625188,0.13142001989131957
6.26,12.465293565221938,0.13034258495083303
6.2700000000000005,12.48664277881947,0.12927785103390918
6.28,12.507818097755484,0.12822562118822092
6.29,12.528821557429866,0.12718570225451734
6.3,12.54965516191726,0.12615790477937006
6.3100000000000005,12.570320884565575,0.12514204293025108
6.32,12.590820668580879,0.12413793441287164
6.33,12.611156427598956,0.12314540039071363
6.34,12.631330046243972,0.12216426540668672
