f,eps_real,eps_imag
0.31,24.95312186446083,0.08753271684289342
0.32,24.955925788248255,0.09038748803745648
0.33,24.95881999157429,0.0932452469264022
0.34,24.961804594183423,0.09610609040730893
0.35000000000000003,24.964879719667227,0.09897011570940113
0.36,24.968045495479466,0.10183742040445963
0.37,24.971302052951643,0.1047081024178112
0.38,24.974649527309026,0.10758226003940047
0.39,24.978088057687216,0.11045999193494631
0.4,24.981617787149197,0.11334139715718645
0.41000000000000003,24.985238862702875,0.11622657515721205
0.42,24.988951435319176,0.11911562579589556
0.43,24.99275565995061,0.12200864935541483
0.44,24.996651695550373,0.12490574655087648
0.45,25.000639705092002,0.12780701854204066
0.46,25.00471985558949,0.1307125669451516
0.47000000000000003,25.00889231811805,0.13362249384487518
0.48,25.01315726783527,0.1365369018063487
0.49,25.017514884002974,0.13945589388734406
0.5,25.021965350009467,0.14237957365054862
0.51,25.026508853392517,0.14530804517596674
0.52,25.031145585862717,0.148241413073445
0.53,25.03587574332757,0.1511797824953249
0.54,25.040699525916033,0.15412325914922595
0.55,25.045617138003717,0.15707194931096266
0.56,25.050628788238637,0.1600259598375995
0.5700000000000001,25.055734689567558,0.1629853981806461
0.58,25.06093505926297,0.16595037239939794
0.59,25.066230118950592,0.16892099117442483
0.6,25.071620094637623,0.17189736382121126
0.61,25.077105216741437,0.17487960030395341
0.62,25.082685720119105,0.17786781124951448
0.63,25.08836184409738,0.18086210796154503
0.64,25.09413383250341,0.18386260243476976
0.65,25.100001933696124,0.1868694073694466
0.66,25.105966400598195,0.18988263618600162
0.67,25.112027490728753,0.19290240303984332
0.68,25.11818546623674,0.1959288228363619
0.6900000000000001,25.12444059393491,0.19896201124611668
0.7000000000000001,25.130793145334618,0.2020020847202173
0.71,25.137243396681235,0.20504916050590175
0.72,25.143791628990282,0.20810335666231752
0.73,25.150438128084346,0.21116479207650915
0.74,25.157183184630625,0.21423358647961793
0.75,25.164027094179364,0.2173098604632984
0.76,25.170970157202834,0.22039373549635635
0.77,25.178012679135325,0.22348533394161377
